"just got back from church, and i totally hate insects.",-1.0
just got mcdonalds goddam those eggs make me sick. o yeah laker up date go lakers. not much of an update? well it's true so suck it,-1.0
history exam studying ugh,-1.0
"i hate revision, it's so boring! i am totally unprepared for my exam tomorrow :( things are not looking good...",-1.0
"higher physics exam tommorow, not lookin forward to it much :(",-1.0
"it's a bank holiday, yet i'm only out of work now. exam season sucks:(",-1.0
cheney and bush are the real culprits - URL,-1.0
life?s a bitch? and so is dick cheney. p2 bipart tlot tcot hhrs gop dnc URL,-1.0
"dick cheney's dishonest speech about torture, terror, and obama. -fred kaplan slate. URL",-1.0
"the republican party is a bunch of anti-abortion zealots who couldn't draw flies to a dump."" -- neal boortz (just now, on the radio)",-1.0
is twitter's connections api broken? some tweets didn't make it to twitter...,-1.0
"i srsly hate the stupid twitter api timeout thing, soooo annoying!!!!! :(",-1.0
viral marketing fail. this acia pills brand oughta get shut down for hacking into people's messenger's. i get 5-6 msgs in a day! arrrgh!,-1.0
night at the museum tonite instead of up. :( oh well. that 4 yr old better enjoy it. lol,-1.0
it's unfortunate that after the stimulus plan was put in place twice to help gm on the back of the american people has led to the inevitable,-1.0
tell me again why we are giving more $$ to gm?? we should use that $ for all the programs that support the unemployed.,-1.0
AT_USER oh yes but if gm dies it will only be worth more boo hahaha,-1.0
time warner cable is down again 3rd time since memorial day bummer!,-1.0
"hi there, does anyone have a great source for advice on viral marketing?... URL",0.0
"here's a case study on how to use viral marketing to add over 10,000 people to your list URL",0.0
going to see the new night at the museum movie with my family oh boy a three year old in the movies fuin,0.0
just saw the new night at the museum movie...it was...okay...lol 7\10,1.0
going to see night at the museum 2 with tall boy,0.0
i saw night at the museum: battle of the swithsonian today. it was okay. your typical [kids] ben stiller movie.,0.0
taking katie to see night at the museum. (she picked it),0.0
gm says expects announcment on sale of hummer soon - reuters: wdsugm says expects announcment on sale of hummer .. URL,0.0
time warner cable pulls the plug on 'the girlfriend experience' - (URL,0.0
"rocawear heads to china, building 300 stores - URL",0.0
"climate focus turns to beijing: the united nations, the us and european governments have called on china to co-o.. URL",0.0
myfoxdc barrie students back from trip to china: a silver spring high school's class trip to china has en.. URL,0.0
"three china aerospace giants develop tianjin binhai new area, 22.9 b yuan invested URL",0.0
URL gm ceo: china will continue to be key partner,0.0
rt AT_USER is now the time to buy a gm car? URL,0.0
dentist tomorrow. have to brush well in the morning. like i make my hair all nice before i get it cut. why?,0.0
AT_USER pet dentist URL,0.0
ncaa baseball super regional - rams club URL,0.0
just started playing major league baseball 2k9. URL,0.0
cardinals baseball advance to super regionals. face cs-fullerton friday.,0.0
sony coupon code.. expires soon.. URL,0.0
waiting in line at safeway.,0.0
did not realize there is a gym above safeway!,0.0
"AT_USER i have three words for you: ""safeway dot com",0.0
bout to hit safeway i gotta eat,0.0
jake's going to safeway!,1.0
found a safeway. picking up a few staples.,0.0
safeway super-marketing via mobile coupons URL,0.0
your normal weight (and how to get there) ? normal eating blog URL,0.0
is eating and watching movies....,0.0
eating sashimi,0.0
is eating home made yema,0.0
eating cake,0.0
iphone may get radio tagging and nike : recently-released itunes version 8.2 suggests that voiceover functional.. URL,0.0
launched! URL imgsearch ajax jquery webapp,0.0
rt AT_USER the ultimate jquery list - URL,0.0
i just extracted and open-sourced a jquery plugin from stormweight to highlight text with a regular expression: URL,0.0
AT_USER what was the php jquery hack?,0.0
jquery cheat sheet URL,0.0
"AT_USER i current use the nikon d90 and love it, but not as much as the canon 40d/50d. i chose the d90 for the video feature. my mistake.",1.0
"AT_USER google is always a good place to look. should've mentioned i worked on the mustang w/ my dad, AT_USER",1.0
rt AT_USER i love the nerdy stanford human biology videos - makes me miss school. URL,1.0
"AT_USER has been a bit crazy, with steep learning curve, but lyx is really good for long docs. for anything shorter, it would be insane.",1.0
"i'm listening to ""p.y.t"" by danny gokey &lt;3 &lt;3 &lt;3 aww, he's so amazing. i &lt;3 him so much :)",1.0
is going to sleep then on a bike ride:],1.0
AT_USER you will not regret going to see star trek. it was awesome!,1.0
highly recommend: URL by malcolm gladwell,1.0
blink by malcolm gladwell amazing book and the tipping point!,1.0
malcolm gladwell might be my new man crush,1.0
AT_USER playing with twitter api sounds fun. may need to take a class or find a new friend who like to generate results with api code.,1.0
hello twitter api ;),1.0
is scrapbooking with nic =d,1.0
rt AT_USER five things wolfram alpha does better (and vastly different) than google - URL,1.0
just changed my default pic to a nike basketball cause bball is awesome!!!!!,1.0
back when i worked for nike we had one fav word : just do it! :),1.0
"by the way, i'm totally inspired by this freaky nike commercial: URL",1.0
class... the 50d is supposed to come today :),1.0
shout outs to all east palo alto for being in the buildin karizmakaze 50cal gta! also thanks to profits of doom universal hempz cracka......,1.0
AT_USER AT_USER great stanford course. thanks for making it available to the public! really helpful and informative for starting off!,1.0
@ work til 6pm... lets go lakers!!!,1.0
omgg i ohhdee want mcdonalds damn i wonder if its open lol =],1.0
"AT_USER i really liked AT_USER ""learning jquery"" book. URL is worth a look too",1.0
"very interesting ad from adobe by goodby, silverstein &amp; partners - youtube - adobe cs4: le sens propre URL",1.0
goodby silverstein agency new site! URL great!,1.0
"rt AT_USER goodby, silverstein's new site: URL i enjoy it. *nice find!*",1.0
the ever amazing psyop and goodby silverstein &amp; partners for hp! URL have to go play with after effects now!,1.0
top ten most watched on viral-video chart. love the nike mostvaluablepuppets campaign from wieden &amp; kennedy URL,1.0
zomg!!! i have a g2!!!!!!!,1.0
ok so lots of buzz from io2009 but how lucky are they - a free g2!! URL,1.0
just got a free g2 android at google i/o!!!,1.0
guess i'll be retiring my g1 and start using my developer g2 woot googleio,1.0
i am happy for philip being at googleio today,1.0
lakers played great! cannot wait for thursday night lakers vs. ???,1.0
judd apatow creates fake sitcom on nbc.com to market his new movie... viral marketing at its best. URL,1.0
